#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A962CC
#Date Time: 2020-01-30 19:07:46.865

Time (s),Voltage (V)
-0.040575,-107.754564502334
-0.0405625,-106.9904451851683
-0.04055,-106.1626492582387
-0.0405375,-105.3348533313092
-0.040525,-104.5070574043797
-0.0405125,-103.6792614774502
-0.0405,-102.8514655505207
-0.0404875,-102.0236696235912
-0.040475,-101.1321970868979
-0.0404625,-100.3680777697322
-0.04045,-99.60395845256646
-0.0404375,-98.83983913540077
-0.040425,-97.94836659870744
-0.0404125,-97.05689406201412
-0.0404,-96.1654215253208
-0.0403875,-95.27394898862748
-0.040375,-94.25512323240653
-0.0403625,-93.3636506957132
-0.04035,-92.40850154925609
-0.0403375,-91.58070562232658
-0.040325,-90.75290969539705
-0.0403125,-89.98879037823136
-0.0403,-89.09731784153803
-0.0402875,-88.33319852437234
-0.040275,-87.44172598767901
-0.0402625,-86.6776066705133
-0.04025,-85.72245752405618
-0.0402375,-84.83098498736285
-0.040225,-83.93951245066954
-0.0402125,-83.11171652374003
-0.0402,-82.28392059681052
-0.0401875,-81.45612466988099
-0.040175,-80.56465213318766
-0.0401625,-79.80053281602197
-0.04015,-79.03641349885628
-0.0401375,-78.27229418169055
-0.040125,-77.44449825476104
-0.0401125,-76.68037893759535
-0.0401,-75.97993623019345
-0.0400875,-75.27949352279157
-0.040075,-74.45169759586204
-0.0400625,-73.68757827869634
-0.04005,-72.85978235176682
-0.0400375,-72.15933964436493
-0.040025,-71.45889693696304
-0.0400125,-70.69477761979734
-0.04,-69.93065830263163
-0.0399875,-69.23021559522974
-0.039975,-68.46609627806403
-0.0399625,-67.70197696089832
-0.03995,-66.93785764373263
-0.0399375,-66.23741493633072
