v1	V(n002)*I(V1)	I(V1)
4.030000000000013e-002	3.060981e-002	7.595486e-001
4.040000000000013e-002	3.068569e-002	7.595467e-001
4.050000000000013e-002	3.076156e-002	7.595448e-001
4.060000000000014e-002	3.083744e-002	7.595429e-001
4.070000000000014e-002	3.091332e-002	7.595410e-001
4.080000000000014e-002	3.098920e-002	7.595391e-001
4.090000000000015e-002	3.106507e-002	7.595372e-001
4.100000000000015e-002	3.114095e-002	7.595353e-001
4.110000000000015e-002	3.121682e-002	7.595333e-001
4.120000000000015e-002	3.129270e-002	7.595314e-001
4.130000000000016e-002	3.136857e-002	7.595295e-001
4.140000000000016e-002	3.144444e-002	7.595276e-001
4.150000000000016e-002	3.152032e-002	7.595257e-001
4.160000000000017e-002	3.159619e-002	7.595238e-001
4.170000000000017e-002	3.167206e-002	7.595219e-001
4.180000000000017e-002	3.174794e-002	7.595200e-001
4.190000000000017e-002	3.182381e-002	7.595181e-001
4.200000000000018e-002	3.189968e-002	7.595162e-001
4.210000000000018e-002	3.197555e-002	7.595143e-001
4.220000000000018e-002	3.205142e-002	7.595124e-001
4.230000000000019e-002	3.212729e-002	7.595105e-001
4.240000000000019e-002	3.220316e-002	7.595086e-001
4.250000000000019e-002	3.227903e-002	7.595066e-001
4.260000000000019e-002	3.235490e-002	7.595047e-001
4.270000000000020e-002	3.243077e-002	7.595028e-001
4.280000000000020e-002	3.250664e-002	7.595009e-001
4.290000000000020e-002	3.258251e-002	7.594990e-001
4.300000000000021e-002	3.265838e-002	7.594971e-001
4.310000000000021e-002	3.273424e-002	7.594952e-001
4.320000000000021e-002	3.281011e-002	7.594933e-001
4.330000000000021e-002	3.288598e-002	7.594914e-001
4.340000000000022e-002	3.296184e-002	7.594895e-001
4.350000000000022e-002	3.303771e-002	7.594876e-001
4.360000000000022e-002	3.311358e-002	7.594857e-001
4.370000000000023e-002	3.318944e-002	7.594838e-001
4.380000000000023e-002	3.326530e-002	7.594818e-001
4.390000000000023e-002	3.334117e-002	7.594799e-001
4.400000000000023e-002	3.341703e-002	7.594780e-001
4.410000000000024e-002	3.349290e-002	7.594761e-001
4.420000000000024e-002	3.356876e-002	7.594742e-001
4.430000000000024e-002	3.364462e-002	7.594723e-001
